[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /login                    --> gm/admin/controller.UserLogin (4 handlers)
[GIN-debug] GET    /account/list             --> gm/admin/controller.AccountList (5 handlers)
[GIN-debug] POST   /account/update           --> gm/admin/controller.UpdateAccount (5 handlers)
[GIN-debug] GET    /grpc/sayhello            --> gm/admin/controller.SayHello (5 handlers)
[GIN-debug] Listening and serving HTTP on :8000
[GIN] 2021/09/14 - 16:44:41 | 200 |     611.728ms |             ::1 | POST     "/login"
[GIN] 2021/09/14 - 16:46:47 | 204 |            0s |             ::1 | OPTIONS  "/login"
[GIN] 2021/09/14 - 16:46:47 | 200 |      1.0117ms |             ::1 | POST     "/login"
[GIN] 2021/09/14 - 16:46:47 | 404 |            0s |             ::1 | GET      "/get_info"
[GIN] 2021/09/14 - 16:46:47 | 204 |            0s |             ::1 | OPTIONS  "/save_error_logger"
[GIN] 2021/09/14 - 16:46:47 | 404 |            0s |             ::1 | POST     "/save_error_logger"
[GIN] 2021/09/14 - 16:49:38 | 404 |      1.0033ms |             ::1 | GET      "/get_info?token=undefined"
[GIN] 2021/09/14 - 16:49:38 | 204 |            0s |             ::1 | OPTIONS  "/save_error_logger"
[GIN] 2021/09/14 - 16:49:38 | 404 |            0s |             ::1 | POST     "/save_error_logger"
[GIN] 2021/09/14 - 16:49:53 | 204 |            0s |             ::1 | OPTIONS  "/login"
[GIN] 2021/09/14 - 16:49:53 | 200 |      1.0021ms |             ::1 | POST     "/login"
[GIN] 2021/09/14 - 16:49:53 | 404 |            0s |             ::1 | GET      "/get_info"
[GIN] 2021/09/14 - 16:49:53 | 204 |            0s |             ::1 | OPTIONS  "/save_error_logger"
[GIN] 2021/09/14 - 16:49:53 | 404 |            0s |             ::1 | POST     "/save_error_logger"
[GIN] 2021/09/14 - 16:50:19 | 404 |            0s |             ::1 | GET      "/get_info?token=undefined"
[GIN] 2021/09/14 - 16:50:19 | 204 |            0s |             ::1 | OPTIONS  "/save_error_logger"
[GIN] 2021/09/14 - 16:50:19 | 404 |            0s |             ::1 | POST     "/save_error_logger"
[GIN] 2021/09/14 - 16:50:35 | 204 |            0s |             ::1 | OPTIONS  "/login"
[GIN] 2021/09/14 - 16:50:35 | 200 |      1.0036ms |             ::1 | POST     "/login"
[GIN] 2021/09/14 - 16:50:35 | 404 |            0s |             ::1 | GET      "/get_info"
[GIN] 2021/09/14 - 16:50:35 | 204 |            0s |             ::1 | OPTIONS  "/save_error_logger"
[GIN] 2021/09/14 - 16:50:35 | 404 |            0s |             ::1 | POST     "/save_error_logger"
